class_id	label_name	tax_id
0	Azorhizobium caulinodans	7
1	Buchnera aphidicola	9
2	Dictyoglomus thermophilum	14
3	Methylophilus methylotrophus	17
4	Shewanella putrefaciens	24
5	Myxococcus fulvus	33
6	Myxococcus xanthus	34
7	Stigmatella aurantiaca	41
8	Cystobacter fuscus	43
9	Archangium gephyra	48
10	Nannocystis exedens	54
11	Sorangium cellulosum	56
12	Vitreoscilla stercoraria	61
13	Lysobacter enzymogenes	69
14	Simonsiella muelleri	72
15	Hyphomonas jannaschiana	86
16	Stella humosa	94
17	Cyclobacterium marinum	104
18	Gemmata obscuriglobus	114
19	Rubinisphaera brasiliensis	119
20	Gimesia maris	122
21	Blastopirellula marina	124
22	Spirochaeta isovalerica	150
23	Treponema zuelzerae	156
24	Treponema denticola	158
25	Treponema pallidum	160
26	Treponema phagedenis	162
27	Treponema bryantii	163
28	Treponema pectinovorum	164
29	Treponema saccharophilum	165
30	Treponema succinifaciens	167
31	Leptospira biflexa	172
32	Leptospira interrogans	173
33	Leptospira borgpetersenii	174
34	Leptonema illini	183
35	Novispirillum itersonii	189
36	Azospirillum brasilense	192
37	Azospirillum lipoferum	193
38	Campylobacter coli	195
39	Campylobacter fetus	196
40	Campylobacter jejuni	197
41	Campylobacter hyointestinalis	198
42	Campylobacter concisus	199
43	Campylobacter curvus	200
44	Campylobacter lari	201
45	Campylobacter mucosalis	202
46	Campylobacter rectus	203
47	Campylobacter showae	204
48	Campylobacter sputorum	206
49	Helicobacter pylori	210
50	Helicobacter sp. CLO-3	211
51	Helicobacter cinaedi	213
52	Helicobacter felis	214
53	Helicobacter fennelliae	215
54	Helicobacter muridarum	216
55	Helicobacter mustelae	217
56	Pseudoalteromonas haloplanktis	228
57	Brucella abortus	235
58	Brucella ovis	236
59	Elizabethkingia meningoseptica	238
60	Flavobacterium aquatile	245
61	Chryseobacterium balustinum	246
62	Empedobacter brevis	247
63	Terrimonas ferruginea	249
64	Chryseobacterium gleum	250
65	Halomonas halmophila	252
66	Chryseobacterium indologenes	253
67	Chryseobacterium indoltheticum	254
68	Myroides odoratus	256
69	Sphingobacterium spiritivorum	258
70	Sphingobacterium thalpophilum	259
71	Francisella tularensis	263
72	Paracoccus denitrificans	266
73	Thermus thermophilus	274
74	Thermus sp.	275
75	Thermus filiformis	276
76	Meiothermus ruber	277
77	Xanthobacter autotrophicus	280
78	Comamonas testosteroni	285
79	Pseudomonas aeruginosa	287
80	Burkholderia cepacia	292
81	Brevundimonas diminuta	293
82	Pseudomonas fluorescens	294
83	Hydrogenophilus thermoluteolus	297
84	Pseudomonas mendocina	300
85	Pseudomonas oleovorans	301
86	Pseudomonas putida	303
87	Ralstonia solanacearum	305
88	Pseudomonas stutzeri	316
89	Pseudomonas syringae	317
90	Ralstonia pickettii	329
91	Xanthomonas campestris	339
92	Xanthomonas translucens	343
93	Xanthomonas citri	346
94	Xanthomonas oryzae	347
95	Zoogloea ramigera	350
96	Azotobacter chroococcum	353
97	Azotobacter vinelandii	354
98	Agrobacterium tumefaciens	358
99	Agrobacterium vitis	373
100	Bradyrhizobium japonicum	375
101	Sinorhizobium fredii	380
102	Mesorhizobium loti	381
103	Sinorhizobium meliloti	382
104	Rhizobium leguminosarum	384
105	Methylobacillus flagellatus	405
106	Methylorubrum extorquens	408
107	Methylobacterium organophilum	410
108	Methylococcus capsulatus	414
109	Methylomonas methanica	421
110	Acetobacter aceti	435
111	Komagataeibacter hansenii	436
112	Acetobacter pasteurianus	438
113	Gluconobacter oxydans	442
114	Legionella pneumophila	446
115	Fluoribacter bozemanae	447
116	Legionella hackeliae	449
117	Tatlockia micdadei	451
118	Legionella feeleii	453
119	Legionella jordanis	456
120	Fluoribacter gormanii	464
121	Legionella maceachernii	466
122	Acinetobacter baumannii	470
123	Acinetobacter calcoaceticus	471
124	Moraxella bovis	476
125	Moraxella lacunata	477
126	Moraxella nonliquefaciens	478
127	Moraxella catarrhalis	480
128	Neisseria cinerea	483
129	Neisseria flavescens	484
130	Neisseria gonorrhoeae	485
131	Neisseria lactamica	486
132	Neisseria meningitidis	487
133	Neisseria mucosa	488
134	Neisseria polysaccharea	489
135	Neisseria sicca	490
136	Neisseria canis	493
137	Bergeriella denitrificans	494
138	Neisseria elongata	495
139	Neisseria macacae	496
140	Psychrobacter immobilis	498
141	Kingella denitrificans	502
142	Kingella kingae	504
143	Kingella oralis	505
144	Alcaligenes faecalis	511
145	Bordetella bronchiseptica	518
146	Bordetella parapertussis	519
147	Bordetella pertussis	520
148	Bordetella avium	521
149	Acidiphilium rubrum	526
150	Ochrobactrum anthropi	529
