locus_tag	ftype	length_bp	gene	EC_number	COG	product
ELFBKOLN_00001	gene	16545	pksN			
ELFBKOLN_00001	CDS	16545	pksN	2.3.1.-	COG1020	Polyketide synthase PksN
ELFBKOLN_00002	gene	12783	pksM			
ELFBKOLN_00002	CDS	12783	pksM			Polyketide synthase PksM
ELFBKOLN_00003	gene	13671	pksL_1			
ELFBKOLN_00003	CDS	13671	pksL_1		COG3321	Polyketide synthase PksL
ELFBKOLN_00004	gene	15141	pksJ_1			
ELFBKOLN_00004	CDS	15141	pksJ_1		COG0318	Polyketide synthase PksJ
ELFBKOLN_00005	gene	750	pksI_1			
ELFBKOLN_00005	CDS	750	pksI_1	4.-.-.-	COG1024	Putative polyketide biosynthesis enoyl-CoA isomerase PksI
ELFBKOLN_00006	gene	771	pksH_1			
ELFBKOLN_00006	CDS	771	pksH_1	4.2.1.-	COG1024	putative polyketide biosynthesis enoyl-CoA hydratase PksH
ELFBKOLN_00007	gene	1263	pksG_1			
ELFBKOLN_00007	CDS	1263	pksG_1	2.3.3.-	COG3425	Polyketide biosynthesis 3-hydroxy-3-methylglutaryl-ACP synthase PksG
ELFBKOLN_00008	gene	1248	pksF_1			
ELFBKOLN_00008	CDS	1248	pksF_1	4.1.1.87	COG0304	Polyketide biosynthesis malonyl-ACP decarboxylase PksF
ELFBKOLN_00009	gene	249	acpK_1			
ELFBKOLN_00009	CDS	249	acpK_1		COG0236	Polyketide biosynthesis acyl-carrier-protein AcpK
ELFBKOLN_00010	gene	2283	pksE_1			
ELFBKOLN_00010	CDS	2283	pksE_1		COG0331	Polyketide biosynthesis protein PksE
ELFBKOLN_00011	gene	975	pksD_1			
ELFBKOLN_00011	CDS	975	pksD_1	2.3.1.-		Polyketide biosynthesis acyltransferase PksD
ELFBKOLN_00012	gene	150				
ELFBKOLN_00012	CDS	150				hypothetical protein
ELFBKOLN_00013	gene	867	pksC_1			
ELFBKOLN_00013	CDS	867	pksC_1	2.3.1.39	COG0331	Polyketide biosynthesis malonyl CoA-acyl carrier protein transacylase PksC
ELFBKOLN_00014	gene	678	pksB_1			
ELFBKOLN_00014	CDS	678	pksB_1	3.-.-.-	COG0491	putative polyketide biosynthesis zinc-dependent hydrolase PksB
ELFBKOLN_00015	gene	618	betI_1			
ELFBKOLN_00015	CDS	618	betI_1		COG1309	HTH-type transcriptional regulator BetI
ELFBKOLN_00016	gene	558				
ELFBKOLN_00016	CDS	558				hypothetical protein
ELFBKOLN_00017	gene	456				
ELFBKOLN_00017	CDS	456				hypothetical protein
ELFBKOLN_00018	gene	753				
ELFBKOLN_00018	CDS	753				hypothetical protein
ELFBKOLN_00019	gene	1887	mutL_1			
ELFBKOLN_00019	CDS	1887	mutL_1		COG0323	DNA mismatch repair protein MutL
ELFBKOLN_00020	gene	2577	mutS_1			
ELFBKOLN_00020	CDS	2577	mutS_1		COG0249	DNA mismatch repair protein MutS
ELFBKOLN_00021	gene	546	cotE_1			
ELFBKOLN_00021	CDS	546	cotE_1			Spore coat protein E
ELFBKOLN_00022	gene	432	ymcA_1			
ELFBKOLN_00022	CDS	432	ymcA_1		COG4550	putative protein YmcA
ELFBKOLN_00023	gene	1530	miaB_1			
ELFBKOLN_00023	CDS	1530	miaB_1	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
ELFBKOLN_00024	gene	1179				
