locus_tag	ftype	length_bp	gene	EC_number	COG	product
PPDLKKOL_00001	gene	756				
PPDLKKOL_00001	CDS	756				hypothetical protein
PPDLKKOL_00002	gene	1728				
PPDLKKOL_00002	CDS	1728				hypothetical protein
PPDLKKOL_00003	gene	270				
PPDLKKOL_00003	CDS	270				hypothetical protein
PPDLKKOL_00004	gene	891				
PPDLKKOL_00004	CDS	891				hypothetical protein
PPDLKKOL_00005	gene	1023	yejK_1			
PPDLKKOL_00005	CDS	1023	yejK_1		COG3081	Nucleoid-associated protein YejK
PPDLKKOL_00006	gene	234				
PPDLKKOL_00006	CDS	234				hypothetical protein
PPDLKKOL_00007	gene	240				
PPDLKKOL_00007	CDS	240				hypothetical protein
PPDLKKOL_00008	gene	258				
PPDLKKOL_00008	CDS	258				hypothetical protein
PPDLKKOL_00009	gene	528				
PPDLKKOL_00009	CDS	528				hypothetical protein
PPDLKKOL_00010	gene	186				
PPDLKKOL_00010	CDS	186				hypothetical protein
PPDLKKOL_00011	gene	681				
PPDLKKOL_00011	CDS	681				hypothetical protein
PPDLKKOL_00012	gene	1344	dnaB_1			
PPDLKKOL_00012	CDS	1344	dnaB_1	3.6.4.12	COG0305	Replicative DNA helicase
PPDLKKOL_00013	gene	225				
PPDLKKOL_00013	CDS	225				hypothetical protein
PPDLKKOL_00014	gene	708				
PPDLKKOL_00014	CDS	708				hypothetical protein
PPDLKKOL_00015	gene	702				
PPDLKKOL_00015	CDS	702				hypothetical protein
PPDLKKOL_00016	gene	687				
PPDLKKOL_00016	CDS	687				hypothetical protein
PPDLKKOL_00017	gene	756				
PPDLKKOL_00017	CDS	756				hypothetical protein
PPDLKKOL_00018	gene	498				
PPDLKKOL_00018	CDS	498				hypothetical protein
PPDLKKOL_00019	gene	738				
PPDLKKOL_00019	CDS	738				hypothetical protein
PPDLKKOL_00020	gene	867	soj_1			
PPDLKKOL_00020	CDS	867	soj_1	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
PPDLKKOL_00021	gene	4038				
PPDLKKOL_00021	CDS	4038				hypothetical protein
PPDLKKOL_00022	gene	1626	hxuB_1			
PPDLKKOL_00022	CDS	1626	hxuB_1		COG2831	Heme/hemopexin transporter protein HuxB
PPDLKKOL_00023	gene	1059	zapE_1			
PPDLKKOL_00023	CDS	1059	zapE_1		COG1485	Cell division protein ZapE
PPDLKKOL_00024	gene	1308	ndh			
PPDLKKOL_00024	CDS	1308	ndh	1.6.99.3	COG1252	NADH dehydrogenase
PPDLKKOL_00025	gene	171				
PPDLKKOL_00025	CDS	171				hypothetical protein
PPDLKKOL_00026	gene	450				
PPDLKKOL_00026	CDS	450				hypothetical protein
PPDLKKOL_00027	gene	630				
PPDLKKOL_00027	CDS	630				hypothetical protein
PPDLKKOL_00028	gene	426	ypeA			
PPDLKKOL_00028	CDS	426	ypeA	2.3.1.-		Acetyltransferase YpeA
PPDLKKOL_00029	gene	471				
PPDLKKOL_00029	CDS	471				hypothetical protein
PPDLKKOL_00030	gene	690				
PPDLKKOL_00030	CDS	690				hypothetical protein
PPDLKKOL_00031	gene	210				
PPDLKKOL_00031	CDS	210				hypothetical protein
PPDLKKOL_00032	gene	201	yacG			
PPDLKKOL_00032	CDS	201	yacG		COG3024	DNA gyrase inhibitor YacG
PPDLKKOL_00033	gene	612	coaE			
