locus_tag	ftype	length_bp	gene	EC_number	COG	product
ALNBEDND_00001	gene	1326	zraR			
ALNBEDND_00001	CDS	1326	zraR		COG2204	Transcriptional regulatory protein ZraR
ALNBEDND_00002	gene	1398	zraS			
ALNBEDND_00002	CDS	1398	zraS	2.7.13.3		Sensor protein ZraS
ALNBEDND_00003	gene	129				
ALNBEDND_00003	CDS	129				hypothetical protein
ALNBEDND_00004	gene	426	zraP			
ALNBEDND_00004	CDS	426	zraP		COG3678	Zinc resistance-associated protein
ALNBEDND_00005	gene	636				
ALNBEDND_00005	CDS	636				hypothetical protein
ALNBEDND_00006	gene	273	hupA			
ALNBEDND_00006	CDS	273	hupA			DNA-binding protein HU-alpha
ALNBEDND_00007	gene	591				
ALNBEDND_00007	CDS	591			COG3068	putative protein
ALNBEDND_00008	gene	672	nfi			
ALNBEDND_00008	CDS	672	nfi	3.1.21.7	COG1515	Endonuclease V
ALNBEDND_00009	gene	1065	hemE			
ALNBEDND_00009	CDS	1065	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
ALNBEDND_00010	gene	774	nudC			
ALNBEDND_00010	CDS	774	nudC	3.6.1.22	COG2816	NADH pyrophosphatase
ALNBEDND_00011	gene	477	rsd			
ALNBEDND_00011	CDS	477	rsd		COG3160	Regulator of sigma D
ALNBEDND_00012	gene	1896	thiC			
ALNBEDND_00012	CDS	1896	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
ALNBEDND_00013	gene	636	thiE			
ALNBEDND_00013	CDS	636	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
ALNBEDND_00014	gene	756	thiF			
ALNBEDND_00014	CDS	756	thiF	2.7.7.73	COG0476	Sulfur carrier protein ThiS adenylyltransferase
ALNBEDND_00015	gene	201	thiS			
ALNBEDND_00015	CDS	201	thiS		COG2104	Sulfur carrier protein ThiS
ALNBEDND_00016	gene	771	thiG			
ALNBEDND_00016	CDS	771	thiG	2.8.1.10	COG2022	Thiazole synthase
ALNBEDND_00017	gene	1134	thiH			
ALNBEDND_00017	CDS	1134	thiH	4.1.99.19	COG1060	2-iminoacetate synthase
ALNBEDND_00018	gene	540	htrC			
ALNBEDND_00018	CDS	540	htrC			Heat shock protein C
ALNBEDND_00019	gene	4224	rpoC			
ALNBEDND_00019	CDS	4224	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
ALNBEDND_00020	gene	4029	rpoB			
ALNBEDND_00020	CDS	4029	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
ALNBEDND_00021	gene	366	rplL			
ALNBEDND_00021	CDS	366	rplL		COG0222	50S ribosomal protein L7/L12
ALNBEDND_00022	gene	498	rplJ			
ALNBEDND_00022	CDS	498	rplJ		COG0244	50S ribosomal protein L10
ALNBEDND_00023	gene	705	rplA			
ALNBEDND_00023	CDS	705	rplA		COG0081	50S ribosomal protein L1
ALNBEDND_00024	gene	429	rplK			
ALNBEDND_00024	CDS	429	rplK		COG0080	50S ribosomal protein L11
ALNBEDND_00025	gene	546	nusG			
ALNBEDND_00025	CDS	546	nusG		COG0250	Transcription termination/antitermination protein NusG
ALNBEDND_00026	gene	384	secE			
ALNBEDND_00026	CDS	384	secE		COG0690	Protein translocase subunit SecE
ALNBEDND_00027	gene	1185	tufB			
ALNBEDND_00027	CDS	1185	tufB		COG0050	Elongation factor Tu 2
ALNBEDND_00028	gene	76				
ALNBEDND_00028	tRNA	76				tRNA-Thr(ggt)
ALNBEDND_00029	gene	75				
ALNBEDND_00029	tRNA	75				tRNA-Gly(tcc)
ALNBEDND_00030	gene	85				
ALNBEDND_00030	tRNA	85				tRNA-Tyr(gta)
ALNBEDND_00031	gene	76				
ALNBEDND_00031	tRNA	76				tRNA-Thr(tgt)
ALNBEDND_00032	gene	927	coaA_1			
ALNBEDND_00032	CDS	927	coaA_1	2.7.1.33	COG1072	Pantothenate kinase
ALNBEDND_00033	gene	966	birA			
ALNBEDND_00033	CDS	966	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
ALNBEDND_00034	gene	1029	murB			
ALNBEDND_00034	CDS	1029	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
ALNBEDND_00035	gene	111				
ALNBEDND_00035	rRNA	111				5S ribosomal RNA
ALNBEDND_00036	gene	2901				
ALNBEDND_00036	rRNA	2901				23S ribosomal RNA
ALNBEDND_00037	gene	76				
ALNBEDND_00037	tRNA	76				tRNA-Glu(ttc)
ALNBEDND_00038	gene	1538				
ALNBEDND_00038	rRNA	1538				16S ribosomal RNA
ALNBEDND_00039	gene	858	murI			
ALNBEDND_00039	CDS	858	murI	5.1.1.3	COG0796	Glutamate racemase
ALNBEDND_00040	gene	1845	btuB			
ALNBEDND_00040	CDS	1845	btuB		COG4206	Vitamin B12 transporter BtuB
ALNBEDND_00041	gene	1101	trmA			
ALNBEDND_00041	CDS	1101	trmA	2.1.1.-	COG2265	tRNA/tmRNA (uracil-C(5))-methyltransferase
ALNBEDND_00042	gene	360	yijD			
ALNBEDND_00042	CDS	360	yijD			Inner membrane protein YijD
ALNBEDND_00043	gene	705	fabR			
ALNBEDND_00043	CDS	705	fabR		COG1309	HTH-type transcriptional repressor FabR
ALNBEDND_00044	gene	1401	sthA			
ALNBEDND_00044	CDS	1401	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
ALNBEDND_00045	gene	918	oxyR_1			
ALNBEDND_00045	CDS	918	oxyR_1			Hydrogen peroxide-inducible genes activator
