locus_tag	ftype	length_bp	gene	EC_number	COG	product
FAOADFNE_00001	gene	2142	mrcA_1			
FAOADFNE_00001	CDS	2142	mrcA_1		COG5009	Penicillin-binding protein 1A
FAOADFNE_00002	gene	597	nudE_1			
FAOADFNE_00002	CDS	597	nudE_1	3.6.1.-	COG0494	ADP compounds hydrolase NudE
FAOADFNE_00003	gene	2133	igaA			
FAOADFNE_00003	CDS	2133	igaA			Intracellular growth attenuator protein igaA
FAOADFNE_00004	gene	669	yrfG			
FAOADFNE_00004	CDS	669	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
FAOADFNE_00005	gene	402	hslR			
FAOADFNE_00005	CDS	402	hslR		COG1188	Heat shock protein 15
FAOADFNE_00006	gene	879	hslO			
FAOADFNE_00006	CDS	879	hslO		COG1281	33 kDa chaperonin
FAOADFNE_00007	gene	1710				
FAOADFNE_00007	CDS	1710				hypothetical protein
FAOADFNE_00008	gene	1620	pckA			
FAOADFNE_00008	CDS	1620	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
FAOADFNE_00009	gene	1353	envZ			
FAOADFNE_00009	CDS	1353	envZ	2.7.13.3		Osmolarity sensor protein EnvZ
FAOADFNE_00010	gene	720	ompR			
FAOADFNE_00010	CDS	720	ompR			Transcriptional regulatory protein OmpR
FAOADFNE_00011	gene	474	greB			
FAOADFNE_00011	CDS	474	greB		COG0782	Transcription elongation factor GreB
FAOADFNE_00012	gene	2331	yhgF			
FAOADFNE_00012	CDS	2331	yhgF		COG2183	Protein YhgF
FAOADFNE_00013	gene	228	feoA			
FAOADFNE_00013	CDS	228	feoA		COG1918	Fe(2+) transport protein A
FAOADFNE_00014	gene	2319	feoB			
FAOADFNE_00014	CDS	2319	feoB		COG0370	Fe(2+) transporter FeoB
FAOADFNE_00015	gene	237	feoC			
FAOADFNE_00015	CDS	237	feoC			putative [Fe-S]-dependent transcriptional repressor FeoC
FAOADFNE_00016	gene	915				
FAOADFNE_00016	CDS	915				ISNCY family transposase ISSen7
FAOADFNE_00017	gene	771	bioH			
FAOADFNE_00017	CDS	771	bioH	3.1.1.85	COG0596	Pimeloyl-[acyl-carrier protein] methyl ester esterase
FAOADFNE_00018	gene	684	prs_1			
FAOADFNE_00018	CDS	684	prs_1			Putative ribose-phosphate pyrophosphokinase
FAOADFNE_00019	gene	576	nfuA			
FAOADFNE_00019	CDS	576	nfuA		COG0316	Fe/S biogenesis protein NfuA
FAOADFNE_00020	gene	1317	gntT			
FAOADFNE_00020	CDS	1317	gntT		COG2610	High-affinity gluconate transporter
FAOADFNE_00021	gene	2079	malQ			
FAOADFNE_00021	CDS	2079	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
FAOADFNE_00022	gene	2394	malP_1			
FAOADFNE_00022	CDS	2394	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
FAOADFNE_00023	gene	2706	malT_1			
FAOADFNE_00023	CDS	2706	malT_1		COG2909	HTH-type transcriptional regulator MalT
FAOADFNE_00024	gene	561				
FAOADFNE_00024	CDS	561				hypothetical protein
FAOADFNE_00025	gene	1035	rtcA			
FAOADFNE_00025	CDS	1035	rtcA	6.5.1.4	COG0430	RNA 3'-terminal phosphate cyclase
FAOADFNE_00026	gene	1218	rtcB_1			
FAOADFNE_00026	CDS	1218	rtcB_1	6.5.1.-	COG1690	RNA-splicing ligase RtcB
FAOADFNE_00027	gene	1554	rsr			
FAOADFNE_00027	CDS	1554	rsr			60 kDa SS-A/Ro ribonucleoprotein 
FAOADFNE_00028	gene	1584	norR_1			
FAOADFNE_00028	CDS	1584	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
FAOADFNE_00029	gene	759	glpR			
