locus_tag	ftype	length_bp	gene	EC_number	COG	product
ODBLAICG_00001	gene	1002	argF_1			
ODBLAICG_00001	CDS	1002	argF_1	2.1.3.3		Ornithine carbamoyltransferase
ODBLAICG_00002	gene	930	arcC1_1			
ODBLAICG_00002	CDS	930	arcC1_1	2.7.2.2		Carbamate kinase 1
ODBLAICG_00003	gene	1224	arcA_1			
ODBLAICG_00003	CDS	1224	arcA_1	3.5.3.6		Arginine deiminase
ODBLAICG_00004	gene	1419	arcD1_1			
ODBLAICG_00004	CDS	1419	arcD1_1		COG0531	Arginine/ornithine antiporter ArcD1
ODBLAICG_00005	gene	1122				
ODBLAICG_00005	CDS	1122				hypothetical protein
ODBLAICG_00006	gene	1119	vioD_1			
ODBLAICG_00006	CDS	1119	vioD_1	4.2.1.145		Capreomycidine synthase
ODBLAICG_00007	gene	732	tsaB_1			
ODBLAICG_00007	CDS	732	tsaB_1		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
ODBLAICG_00008	gene	600	mshD			
ODBLAICG_00008	CDS	600	mshD	2.3.1.189		Mycothiol acetyltransferase
ODBLAICG_00009	gene	1035	tsaD			
ODBLAICG_00009	CDS	1035	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
ODBLAICG_00010	gene	483				
ODBLAICG_00010	CDS	483				hypothetical protein
ODBLAICG_00011	gene	438	fabZ_1			
ODBLAICG_00011	CDS	438	fabZ_1	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
ODBLAICG_00012	gene	441				
ODBLAICG_00012	CDS	441				hypothetical protein
ODBLAICG_00013	gene	960	fabH			
ODBLAICG_00013	CDS	960	fabH	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
ODBLAICG_00014	gene	249	acpP_1			
ODBLAICG_00014	CDS	249	acpP_1		COG0236	Acyl carrier protein
ODBLAICG_00015	gene	948	fabD			
ODBLAICG_00015	CDS	948	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
ODBLAICG_00016	gene	732	fabG			
ODBLAICG_00016	CDS	732	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
ODBLAICG_00017	gene	1239	fabF			
ODBLAICG_00017	CDS	1239	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
ODBLAICG_00018	gene	447	accB_1			
ODBLAICG_00018	CDS	447	accB_1		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
ODBLAICG_00019	gene	435	fabZ_2			
ODBLAICG_00019	CDS	435	fabZ_2	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
ODBLAICG_00020	gene	1398	accC_1			
ODBLAICG_00020	CDS	1398	accC_1	6.3.4.14	COG0439	Biotin carboxylase
ODBLAICG_00021	gene	849	accD			
ODBLAICG_00021	CDS	849	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
ODBLAICG_00022	gene	774	accA			
ODBLAICG_00022	CDS	774	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
ODBLAICG_00023	gene	765	fabI			
ODBLAICG_00023	CDS	765	fabI	1.3.1.39		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI
ODBLAICG_00024	gene	546	bioY			
ODBLAICG_00024	CDS	546	bioY		COG1268	Biotin transporter BioY
ODBLAICG_00025	gene	963	birA			
ODBLAICG_00025	CDS	963	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
ODBLAICG_00026	gene	1944	yheS			
ODBLAICG_00026	CDS	1944	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
ODBLAICG_00027	gene	651	rex			
ODBLAICG_00027	CDS	651	rex		COG2344	Redox-sensing transcriptional repressor Rex
ODBLAICG_00028	gene	282	groS			
ODBLAICG_00028	CDS	282	groS		COG0234	10 kDa chaperonin
ODBLAICG_00029	gene	1632	groL			
ODBLAICG_00029	CDS	1632	groL			60 kDa chaperonin
ODBLAICG_00030	gene	1839	kimA			
ODBLAICG_00030	CDS	1839	kimA		COG0531	Potassium transporter KimA
ODBLAICG_00031	gene	255				
ODBLAICG_00031	CDS	255				hypothetical protein
ODBLAICG_00032	gene	639	yigZ			
ODBLAICG_00032	CDS	639	yigZ		COG1739	IMPACT family member YigZ
ODBLAICG_00033	gene	1317	comFA			
ODBLAICG_00033	CDS	1317	comFA	3.6.4.12	COG4098	ComF operon protein 1
ODBLAICG_00034	gene	675				
ODBLAICG_00034	CDS	675				hypothetical protein
ODBLAICG_00035	gene	546	hpf			
ODBLAICG_00035	CDS	546	hpf			Ribosome hibernation promotion factor
ODBLAICG_00036	gene	2370	secA			
ODBLAICG_00036	CDS	2370	secA		COG0653	Protein translocase subunit SecA
ODBLAICG_00037	gene	1068	prfB			
ODBLAICG_00037	CDS	1068	prfB			Peptide chain release factor 2
ODBLAICG_00038	gene	330				
ODBLAICG_00038	CDS	330				hypothetical protein
ODBLAICG_00039	gene	354				
ODBLAICG_00039	CDS	354				hypothetical protein
ODBLAICG_00040	gene	963	hprK			
ODBLAICG_00040	CDS	963	hprK	2.7.11.-	COG1493	HPr kinase/phosphorylase
ODBLAICG_00041	gene	846	lgt			
ODBLAICG_00041	CDS	846	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
ODBLAICG_00042	gene	1014	gpsA			
ODBLAICG_00042	CDS	1014	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
ODBLAICG_00043	gene	912	gtaB			
ODBLAICG_00043	CDS	912	gtaB	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
ODBLAICG_00044	gene	780	yafV			
ODBLAICG_00044	CDS	780	yafV	3.5.1.3		Omega-amidase YafV
ODBLAICG_00045	gene	1179	dapL			
ODBLAICG_00045	CDS	1179	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
ODBLAICG_00046	gene	975	panE			
ODBLAICG_00046	CDS	975	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
ODBLAICG_00047	gene	417				
ODBLAICG_00047	CDS	417				hypothetical protein
ODBLAICG_00048	gene	942	trxB			
ODBLAICG_00048	CDS	942	trxB	1.8.1.9	COG0492	Thioredoxin reductase
ODBLAICG_00049	gene	813	cysE			
ODBLAICG_00049	CDS	813	cysE	2.3.1.30		Serine O-acetyltransferase
ODBLAICG_00050	gene	927	cysK			
ODBLAICG_00050	CDS	927	cysK	2.5.1.47		Cysteine synthase
ODBLAICG_00051	gene	1029	ilvE_1			
ODBLAICG_00051	CDS	1029	ilvE_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
ODBLAICG_00052	gene	942				
ODBLAICG_00052	CDS	942		1.1.1.-		L-2-hydroxyisocaproate dehydrogenase
ODBLAICG_00053	gene	777	yidA_1			
ODBLAICG_00053	CDS	777	yidA_1	3.1.3.23	COG0561	Sugar phosphatase YidA
ODBLAICG_00054	gene	1725	pgcA			
ODBLAICG_00054	CDS	1725	pgcA	5.4.2.2		Phosphoglucomutase
ODBLAICG_00055	gene	636	yfbR			
ODBLAICG_00055	CDS	636	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
ODBLAICG_00056	gene	231				
ODBLAICG_00056	CDS	231				hypothetical protein
ODBLAICG_00057	gene	2016	uvrB			
ODBLAICG_00057	CDS	2016	uvrB		COG0556	UvrABC system protein B
ODBLAICG_00058	gene	2862	uvrA			
ODBLAICG_00058	CDS	2862	uvrA			UvrABC system protein A
ODBLAICG_00059	gene	1086				
ODBLAICG_00059	CDS	1086				hypothetical protein
ODBLAICG_00060	gene	870	yvcJ			
ODBLAICG_00060	CDS	870	yvcJ		COG1660	Nucleotide-binding protein YvcJ
ODBLAICG_00061	gene	978				
ODBLAICG_00061	CDS	978			COG0391	Putative gluconeogenesis factor
ODBLAICG_00062	gene	939	whiA			
ODBLAICG_00062	CDS	939	whiA		COG1481	putative cell division protein WhiA
ODBLAICG_00063	gene	312	tenA			
ODBLAICG_00063	CDS	312	tenA	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
ODBLAICG_00064	gene	333				
ODBLAICG_00064	CDS	333				hypothetical protein
ODBLAICG_00065	gene	591	clpP			
ODBLAICG_00065	CDS	591	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
ODBLAICG_00066	gene	135				
ODBLAICG_00066	CDS	135				hypothetical protein
ODBLAICG_00067	gene	72				
ODBLAICG_00067	tRNA	72				tRNA-Arg(ccg)
ODBLAICG_00068	gene	85				
ODBLAICG_00068	tRNA	85				tRNA-Leu(cag)
ODBLAICG_00069	gene	132				
ODBLAICG_00069	CDS	132				hypothetical protein
ODBLAICG_00070	gene	1014	gap			
ODBLAICG_00070	CDS	1014	gap	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
ODBLAICG_00071	gene	1206	pgk			
ODBLAICG_00071	CDS	1206	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
ODBLAICG_00072	gene	768	tpiA_1			
ODBLAICG_00072	CDS	768	tpiA_1	5.3.1.1		Triosephosphate isomerase
ODBLAICG_00073	gene	1323	eno2			
ODBLAICG_00073	CDS	1323	eno2	4.2.1.11	COG0148	Enolase 2
ODBLAICG_00074	gene	1395	yifK_1			
ODBLAICG_00074	CDS	1395	yifK_1		COG1113	putative transport protein YifK
ODBLAICG_00075	gene	1551	clcA_1			
ODBLAICG_00075	CDS	1551	clcA_1		COG0038	H(+)/Cl(-) exchange transporter ClcA
ODBLAICG_00076	gene	240	secG			
ODBLAICG_00076	CDS	240	secG		COG1314	putative protein-export membrane protein SecG
ODBLAICG_00077	gene	2394	rnr			
ODBLAICG_00077	CDS	2394	rnr	3.1.13.1	COG0557	Ribonuclease R
ODBLAICG_00078	gene	474	smpB			
