locus_tag	ftype	length_bp	gene	EC_number	COG	product
PCOCLAEF_00001	gene	561	tadA_1			
PCOCLAEF_00001	CDS	561	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
PCOCLAEF_00002	gene	2160	comEC_1			
PCOCLAEF_00002	CDS	2160	comEC_1		COG0658	ComE operon protein 3
PCOCLAEF_00003	gene	1032	yqeN			
PCOCLAEF_00003	CDS	1032	yqeN		COG1466	putative protein YqeN
PCOCLAEF_00004	gene	255	rpsT			
PCOCLAEF_00004	CDS	255	rpsT		COG0268	30S ribosomal protein S20
PCOCLAEF_00005	gene	1827	lepA			
PCOCLAEF_00005	CDS	1827	lepA	3.6.5.-	COG0481	Elongation factor 4
PCOCLAEF_00006	gene	438				
PCOCLAEF_00006	CDS	438				hypothetical protein
PCOCLAEF_00007	gene	1029	fcl			
PCOCLAEF_00007	CDS	1029	fcl	1.1.1.271		GDP-L-fucose synthase
PCOCLAEF_00008	gene	1158	hemW			
PCOCLAEF_00008	CDS	1158	hemW		COG0635	Heme chaperone HemW
PCOCLAEF_00009	gene	1038	hrcA			
PCOCLAEF_00009	CDS	1038	hrcA		COG1420	Heat-inducible transcription repressor HrcA
PCOCLAEF_00010	gene	576	grpE			
PCOCLAEF_00010	CDS	576	grpE			Protein GrpE
PCOCLAEF_00011	gene	1842	dnaK			
PCOCLAEF_00011	CDS	1842	dnaK		COG0443	Chaperone protein DnaK
PCOCLAEF_00012	gene	1131	dnaJ			
PCOCLAEF_00012	CDS	1131	dnaJ			Chaperone protein DnaJ
PCOCLAEF_00013	gene	945	prmA			
PCOCLAEF_00013	CDS	945	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
PCOCLAEF_00014	gene	768	rsmE			
PCOCLAEF_00014	CDS	768	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
PCOCLAEF_00015	gene	174	rpsU			
PCOCLAEF_00015	CDS	174	rpsU		COG0828	30S ribosomal protein S21
PCOCLAEF_00016	gene	447	yqeY			
PCOCLAEF_00016	CDS	447	yqeY		COG1610	putative protein YqeY
PCOCLAEF_00017	gene	960				
PCOCLAEF_00017	CDS	960			COG1702	PhoH-like protein
PCOCLAEF_00018	gene	1020	pgpH_1			
PCOCLAEF_00018	CDS	1020	pgpH_1	3.1.4.59		Cyclic-di-AMP phosphodiesterase PgpH
PCOCLAEF_00019	gene	1194	pgpH_2			
PCOCLAEF_00019	CDS	1194	pgpH_2	3.1.4.59		Cyclic-di-AMP phosphodiesterase PgpH
PCOCLAEF_00020	gene	486	ybeY			
PCOCLAEF_00020	CDS	486	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
PCOCLAEF_00021	gene	390	dgkA			
PCOCLAEF_00021	CDS	390	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
PCOCLAEF_00022	gene	396	cdd			
